,,,,,,,ALL APPLICANTS,,,,,SIBLING APPLICANTS,,,,,"Elementary School Attendance Area APPLICANTS
Only relevant for elementary school grades (TK-5)",,,,,"Middle School Feeder APPLICANTS
Only relevant for 6th grade applicants",,,,,CTIP1 APPLICANTS (LOW TEST SCORE AREA TIEBREAKER),,,,,APPLICANTS WITH NO TIEBREAKERS,,,,
,Mission HS10SA,725,Mission HS,10,SA,SDC - Extensive Support w Autism Focus,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Mission HS11SA,725,Mission HS,11,SA,SDC - Extensive Support w Autism Focus,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Mission HS12SA,725,Mission HS,12,SA,SDC - Extensive Support w Autism Focus,0,0,0%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%
,Monroe ESKCB,729,Monroe ES,K,CB,Cantonese Biliteracy,59,21,36%,52,88%,9,8,91%,9,100%,0,0,-,0,-,0,0,-,0,-,2,0,11%,2,100%,46,13,29%,39,84%
,Monroe ES1CB,729,Monroe ES,1,CB,Cantonese Biliteracy,5,1,28%,2,39%,0,0,0%,0,0%,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,0%,3,1,45%,2,64%
,Monroe ES2CB,729,Monroe ES,2,CB,Cantonese Biliteracy,3,1,38%,2,54%,1,0,33%,0,33%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,1,75%,1,75%
,Monroe ES3CB,729,Monroe ES,3,CB,Cantonese Biliteracy,2,0,13%,1,38%,0,0,0%,0,0%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,100%,0,100%
,Monroe ES4CB,729,Monroe ES,4,CB,Cantonese Biliteracy,2,1,56%,2,78%,0,0,0%,0,0%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%
,Monroe ES5CB,729,Monroe ES,5,CB,Cantonese Biliteracy,1,1,75%,1,100%,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,1,100%,1,100%
,Monroe ESKGE,729,Monroe ES,K,GE,General Education,171,23,14%,161,94%,14,4,28%,14,100%,26,6,24%,26,100%,0,0,-,0,-,12,2,16%,12,100%,123,13,10%,113,92%
,Monroe ES1GE,729,Monroe ES,1,GE,General Education,7,1,15%,4,59%,0,0,0%,0,0%,0,0,0%,0,0%,0,0,-,0,-,0,0,0%,0,100%,6,1,17%,4,63%
,Monroe ES2GE,729,Monroe ES,2,GE,General Education,6,1,22%,3,43%,1,1,50%,1,75%,0,0,0%,0,100%,0,0,-,0,-,0,0,0%,0,0%,4,1,18%,2,35%
,Monroe ES3GE,729,Monroe ES,3,GE,General Education,8,0,0%,3,35%,0,0,0%,0,0%,1,0,0%,0,33%,0,0,-,0,-,0,0,0%,0,0%,7,0,0%,3,38%
,Monroe ES4GE,729,Monroe ES,4,GE,General Education,7,2,29%,6,86%,0,0,-,0,-,1,0,33%,1,100%,0,0,-,0,-,0,0,-,0,-,6,2,28%,5,84%
,Monroe ES5GE,729,Monroe ES,5,GE,General Education,3,1,33%,3,92%,0,0,-,0,-,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,3,1,27%,3,91%
,Monroe ESKSE,729,Monroe ES,K,SE,Spanish Immersion (Non-Native),80,18,22%,68,84%,5,4,89%,5,100%,0,0,-,0,-,0,0,-,0,-,8,2,23%,8,100%,66,12,18%,53,81%
,Monroe ES1SE,729,Monroe ES,1,SE,Spanish Immersion (Non-Native),5,2,33%,4,89%,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,1,0,0%,1,100%,4,1,36%,3,86%
,Monroe ESKSN,729,Monroe ES,K,SN,Spanish Immersion (Spanish Speakers),76,26,34%,73,96%,6,5,95%,6,100%,0,0,-,0,-,0,0,-,0,-,8,3,31%,8,100%,58,18,32%,54,94%
,Monroe ES1SN,729,Monroe ES,1,SN,Spanish Immersion (Spanish Speakers),2,1,33%,1,67%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%,1,1,67%,1,67%
,Monroe ES2SN,729,Monroe ES,2,SN,Spanish Immersion (Spanish Speakers),3,1,40%,2,80%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,33%,1,67%,1,1,67%,1,100%
,Monroe ES3SN,729,Monroe ES,3,SN,Spanish Immersion (Spanish Speakers),2,1,38%,2,88%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,1,50%,1,100%
,Monroe ES4SN,729,Monroe ES,4,SN,Spanish Immersion (Spanish Speakers),4,3,65%,4,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,50%,1,100%,1,1,80%,1,100%
,Monroe ES5SN,729,Monroe ES,5,SN,Spanish Immersion (Spanish Speakers),1,0,50%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Moscone (George R) ESKCB,723,Moscone (George R) ES,K,CB,Cantonese Biliteracy,19,9,45%,19,100%,3,3,91%,3,100%,0,0,-,0,-,0,0,-,0,-,4,1,33%,4,100%,11,5,41%,11,100%
,Moscone (George R) ES1CB,723,Moscone (George R) ES,1,CB,Cantonese Biliteracy,3,2,82%,3,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%,2,2,89%,2,100%
,Moscone (George R) ES2CB,723,Moscone (George R) ES,2,CB,Cantonese Biliteracy,1,1,60%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,1,60%,1,100%
,Moscone (George R) ES3CB,723,Moscone (George R) ES,3,CB,Cantonese Biliteracy,1,1,40%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%,1,1,50%,1,100%
,Moscone (George R) ES4CB,723,Moscone (George R) ES,4,CB,Cantonese Biliteracy,1,0,33%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,100%,0,100%,1,0,0%,1,100%
,Moscone (George R) ES5CB,723,Moscone (George R) ES,5,CB,Cantonese Biliteracy,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
Opened in 25-26,Moscone (George R) ESTKGE,723,Moscone (George R) ES,TK,GE,General Education,86,26,30%,82,96%,5,5,90%,5,100%,12,4,35%,12,100%,0,0,-,0,-,34,11,32%,34,100%,50,13,26%,46,93%
,Moscone (George R) ESKGE,723,Moscone (George R) ES,K,GE,General Education,84,22,26%,83,98%,5,3,56%,5,100%,13,3,24%,13,100%,0,0,-,0,-,36,11,31%,36,100%,46,9,20%,44,97%
,Moscone (George R) ES1GE,723,Moscone (George R) ES,1,GE,General Education,7,3,42%,6,85%,1,1,100%,1,100%,1,1,100%,1,100%,0,0,-,0,-,4,2,64%,3,93%,3,1,17%,2,75%
,Moscone (George R) ES2GE,723,Moscone (George R) ES,2,GE,General Education,3,1,17%,2,58%,0,0,-,0,-,1,0,0%,0,50%,0,0,-,0,-,2,0,0%,1,29%,1,1,40%,1,100%
,Moscone (George R) ES3GE,723,Moscone (George R) ES,3,GE,General Education,4,1,31%,3,81%,0,0,-,0,-,1,1,50%,1,100%,0,0,-,0,-,2,1,29%,1,71%,2,1,33%,2,89%
,Moscone (George R) ES4GE,723,Moscone (George R) ES,4,GE,General Education,3,1,27%,2,82%,0,0,-,0,-,0,0,0%,0,100%,0,0,-,0,-,1,0,25%,1,100%,2,1,29%,1,71%
,Moscone (George R) ES5GE,723,Moscone (George R) ES,5,GE,General Education,3,2,58%,3,92%,0,0,-,0,-,1,1,67%,1,100%,0,0,-,0,-,2,1,67%,2,100%,2,1,50%,1,83%
,Moscone (George R) ESKSB,723,Moscone (George R) ES,K,SB,Spanish Biliteracy,59,22,37%,56,94%,5,4,89%,5,100%,0,0,-,0,-,0,0,-,0,-,33,16,49%,33,100%,23,3,14%,19,86%
,Moscone (George R) ES1SB,723,Moscone (George R) ES,1,SB,Spanish Biliteracy,2,1,22%,1,44%,0,0,0%,0,0%,0,0,-,0,-,0,0,-,0,-,1,0,20%,1,60%,1,0,50%,0,50%
,Moscone (George R) ES2SB,723,Moscone (George R) ES,2,SB,Spanish Biliteracy,1,0,0%,0,25%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,0,0%,0,0,-,0,-
,Moscone (George R) ES3SB,723,Moscone (George R) ES,3,SB,Spanish Biliteracy,1,0,0%,0,20%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,0,20%,0,0,-,0,-
,Moscone (George R) ES4SB,723,Moscone (George R) ES,4,SB,Spanish Biliteracy,2,1,33%,2,89%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,1,100%,0,0,-,0,-
,Moscone (George R) ES5SB,723,Moscone (George R) ES,5,SB,Spanish Biliteracy,1,0,0%,1,40%,0,0,0%,0,0%,0,0,-,0,-,0,0,-,0,-,1,0,0%,0,33%,0,0,-,0,-
Opened in 24-25,Muir (John) ESTKGE,650,Muir (John) ES,TK,GE,General Education,80,27,34%,77,97%,4,4,100%,4,100%,10,4,41%,10,100%,0,0,-,0,-,15,4,27%,15,100%,59,19,32%,56,96%
,Muir (John) ESKGE,650,Muir (John) ES,K,GE,General Education,100,17,17%,96,96%,4,4,100%,4,100%,14,6,41%,13,96%,0,0,-,0,-,20,5,23%,20,100%,71,8,11%,68,96%
,Muir (John) ES1GE,650,Muir (John) ES,1,GE,General Education,7,3,37%,6,93%,0,0,-,0,-,0,0,100%,0,100%,0,0,-,0,-,1,1,50%,1,100%,6,2,35%,5,91%
,Muir (John) ES2GE,650,Muir (John) ES,2,GE,General Education,2,1,29%,2,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%,2,1,33%,2,100%
,Muir (John) ES3GE,650,Muir (John) ES,3,GE,General Education,4,1,36%,4,100%,0,0,-,0,-,1,0,50%,1,100%,0,0,-,0,-,0,0,0%,0,100%,3,1,36%,3,100%
,Muir (John) ES4GE,650,Muir (John) ES,4,GE,General Education,2,1,33%,2,78%,0,0,-,0,-,1,0,50%,0,50%,0,0,-,0,-,1,0,25%,1,75%,1,0,33%,1,100%
,Muir (John) ES5GE,650,Muir (John) ES,5,GE,General Education,3,1,27%,3,91%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,0,50%,2,1,33%,2,100%
,Muir (John) ESKSB,650,Muir (John) ES,K,SB,Spanish Biliteracy,18,10,56%,18,100%,3,3,100%,3,100%,0,0,-,0,-,0,0,-,0,-,6,3,48%,6,100%,10,5,50%,10,100%
,Muir (John) ES1SB,650,Muir (John) ES,1,SB,Spanish Biliteracy,2,1,29%,1,43%,0,0,0%,0,0%,0,0,-,0,-,0,0,-,0,-,1,1,50%,1,75%,0,0,0%,0,0%
,Muir (John) ES2SB,650,Muir (John) ES,2,SB,Spanish Biliteracy,1,0,0%,1,67%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%,0,0,0%,0,100%
,Muir (John) ES3SB,650,Muir (John) ES,3,SB,Spanish Biliteracy,2,1,33%,2,89%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,50%,0,50%,2,1,33%,2,100%
,Muir (John) ES4SB,650,Muir (John) ES,4,SB,Spanish Biliteracy,1,1,40%,1,60%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,1,50%,1,75%,0,0,0%,0,0%
,Muir (John) ES5SB,650,Muir (John) ES,5,SB,Spanish Biliteracy,1,0,20%,1,60%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,0,0%,1,0,33%,1,100%
,New Traditions ESKGE,735,New Traditions ES,K,GE,General Education,384,48,13%,299,78%,14,14,100%,14,100%,56,40,72%,50,88%,0,0,-,0,-,28,6,21%,28,100%,299,0,0%,221,74%
,New Traditions ES1GE,735,New Traditions ES,1,GE,General Education,15,2,10%,10,71%,0,0,-,0,-,1,0,33%,1,67%,0,0,-,0,-,1,0,0%,1,100%,13,1,10%,9,68%
,New Traditions ES2GE,735,New Traditions ES,2,GE,General Education,15,2,10%,9,59%,1,1,100%,1,100%,1,1,40%,1,40%,0,0,-,0,-,1,0,20%,1,100%,12,1,4%,7,55%
,New Traditions ES3GE,735,New Traditions ES,3,GE,General Education,15,2,15%,11,70%,0,0,-,0,-,1,1,50%,1,50%,0,0,-,0,-,2,1,50%,2,100%,12,1,8%,8,67%
,New Traditions ES4GE,735,New Traditions ES,4,GE,General Education,11,3,30%,9,81%,0,0,-,0,-,1,0,25%,1,50%,0,0,-,0,-,2,1,43%,1,57%,8,2,27%,8,91%
,New Traditions ES5GE,735,New Traditions ES,5,GE,General Education,10,3,28%,6,55%,0,0,100%,0,100%,2,1,38%,1,38%,0,0,-,0,-,1,0,20%,0,20%,8,2,23%,5,58%
New for 26-27,Noriega EESTKGE750,928,Noriega EES,TK,GE750,Sunset ES TK Feeder - General Education,332,20,6%,112,34%,15,14,93%,15,100%,33,12,36%,13,39%,0,0,-,0,-,9,1,11%,9,100%,257,0,0%,73,28%
New for 26-27,Noriega EESTKGE862,928,Noriega EES,TK,GE862,Ulloa ES TK Feeder - General Education,163,20,12%,64,39%,7,2,29%,7,100%,22,12,55%,15,68%,0,0,-,0,-,5,1,20%,5,100%,123,0,0%,31,25%
,O'Connell (John) HS13CA,651,O'Connell (John) HS,13,CA,SDC - Transition Program (CAT),9,2,26%,6,71%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,3,1,40%,3,100%,6,1,20%,4,60%
,O'Connell (John) HS9GE,651,O'Connell (John) HS,9,GE,General Education,421,161,38%,421,100%,13,10,75%,13,100%,0,0,-,0,-,0,0,-,0,-,146,45,31%,146,100%,266,110,41%,266,100%
,O'Connell (John) HS10GE,651,O'Connell (John) HS,10,GE,General Education,10,6,56%,10,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,4,3,69%,4,100%,6,3,48%,6,100%
,O'Connell (John) HS11GE,651,O'Connell (John) HS,11,GE,General Education,9,4,44%,9,97%,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,3,2,54%,3,100%,6,2,39%,6,96%
,O'Connell (John) HS12GE,651,O'Connell (John) HS,12,GE,General Education,3,2,46%,3,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,1,50%,1,100%,2,1,44%,2,100%
,O'Connell (John) HS9MM,651,O'Connell (John) HS,9,MM,SDC - Mild to Moderate,13,5,40%,13,94%,1,1,75%,1,100%,0,0,-,0,-,0,0,-,0,-,7,4,57%,7,100%,6,1,22%,5,87%
,O'Connell (John) HS10MM,651,O'Connell (John) HS,10,MM,SDC - Mild to Moderate,1,0,0%,1,67%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,0%,1,0,0%,1,100%
,O'Connell (John) HS11MM,651,O'Connell (John) HS,11,MM,SDC - Mild to Moderate,1,0,50%,1,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,100%,0,100%,0,0,0%,0,100%
,O'Connell (John) HS12MM,651,O'Connell (John) HS,12,MM,SDC - Mild to Moderate,0,0,0%,0,0%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,0%,0,0,-,0,-
Opened in 24-25,Ortega (Jose) ESTKGE,746,Ortega (Jose) ES,TK,GE,General Education,206,23,11%,92,45%,9,9,100%,9,100%,16,11,72%,12,74%,0,0,-,0,-,13,5,40%,13,100%,171,0,0%,61,36%
,Ortega (Jose) ESKGE,746,Ortega (Jose) ES,K,GE,General Education,208,40,19%,187,90%,17,8,46%,17,100%,20,11,56%,20,100%,0,0,-,0,-,11,2,14%,11,100%,165,21,13%,144,87%
,Ortega (Jose) ES1GE,746,Ortega (Jose) ES,1,GE,General Education,15,5,33%,10,63%,0,0,0%,0,100%,1,1,75%,1,75%,0,0,-,0,-,1,0,33%,1,100%,13,4,30%,8,60%
,Ortega (Jose) ES2GE,746,Ortega (Jose) ES,2,GE,General Education,10,3,34%,5,53%,1,0,0%,0,0%,1,0,0%,0,50%,0,0,-,0,-,1,0,0%,0,0%,8,3,39%,5,58%
,Ortega (Jose) ES3GE,746,Ortega (Jose) ES,3,GE,General Education,11,2,17%,8,74%,0,0,-,0,-,1,0,33%,0,33%,0,0,-,0,-,1,0,0%,1,100%,9,2,17%,7,75%
,Ortega (Jose) ES4GE,746,Ortega (Jose) ES,4,GE,General Education,8,3,32%,6,81%,0,0,100%,0,100%,1,0,50%,0,50%,0,0,-,0,-,1,0,20%,1,80%,6,2,30%,5,83%
,Ortega (Jose) ES5GE,746,Ortega (Jose) ES,5,GE,General Education,5,2,35%,4,85%,0,0,100%,0,100%,1,0,25%,1,75%,0,0,-,0,-,0,0,100%,0,100%,4,1,29%,3,86%
,Ortega (Jose) ESKME,746,Ortega (Jose) ES,K,ME,Mandarin Immersion (Non-Native),152,9,6%,104,69%,6,6,88%,6,100%,0,0,-,0,-,0,0,-,0,-,10,2,15%,10,97%,136,3,2%,89,66%
,Ortega (Jose) ES1ME,746,Ortega (Jose) ES,1,ME,Mandarin Immersion (Non-Native),16,0,0%,2,13%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,2,0,0%,1,33%,14,0,0%,2,11%
,Ortega (Jose) ESKMN,746,Ortega (Jose) ES,K,MN,Mandarin Immersion (Mandarin Speakers),102,13,13%,50,49%,8,7,94%,8,100%,0,0,-,0,-,0,0,-,0,-,9,3,31%,9,100%,86,4,4%,34,40%
,Ortega (Jose) ES1MN,746,Ortega (Jose) ES,1,MN,Mandarin Immersion (Mandarin Speakers),5,0,6%,1,28%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,0%,4,0,7%,1,36%
,Ortega (Jose) ES2MN,746,Ortega (Jose) ES,2,MN,Mandarin Immersion (Mandarin Speakers),5,0,0%,0,5%,0,0,0%,0,0%,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,0%,4,0,0%,0,6%
,Ortega (Jose) ES3MN,746,Ortega (Jose) ES,3,MN,Mandarin Immersion (Mandarin Speakers),4,1,14%,2,43%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,0%,3,0,9%,1,45%
,Ortega (Jose) ES4MN,746,Ortega (Jose) ES,4,MN,Mandarin Immersion (Mandarin Speakers),3,1,23%,2,46%,0,0,0%,0,0%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,3,1,30%,2,60%
,Ortega (Jose) ES5MN,746,Ortega (Jose) ES,5,MN,Mandarin Immersion (Mandarin Speakers),2,1,67%,2,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,2,1,67%,2,100%
,Parker (Jean) ESTKGE,638,Parker (Jean) ES,TK,GE,General Education,68,29,42%,68,100%,2,2,88%,2,100%,3,1,27%,3,100%,0,0,-,0,-,4,1,19%,4,100%,60,26,43%,60,100%
,Parker (Jean) ESKGE,638,Parker (Jean) ES,K,GE,General Education,85,17,20%,85,100%,2,2,89%,2,100%,10,3,26%,10,100%,0,0,-,0,-,4,0,6%,4,100%,69,13,19%,69,100%
,Parker (Jean) ES1GE,638,Parker (Jean) ES,1,GE,General Education,6,1,14%,6,100%,0,0,0%,0,100%,1,0,0%,1,100%,0,0,-,0,-,0,0,100%,0,100%,4,1,12%,4,100%
,Parker (Jean) ES2GE,638,Parker (Jean) ES,2,GE,General Education,2,1,56%,2,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,2,1,56%,2,100%
,Parker (Jean) ES3GE,638,Parker (Jean) ES,3,GE,General Education,2,0,0%,2,100%,0,0,-,0,-,0,0,0%,0,100%,0,0,-,0,-,0,0,0%,0,100%,1,0,0%,1,100%
,Parker (Jean) ES4GE,638,Parker (Jean) ES,4,GE,General Education,1,0,25%,1,100%,0,0,-,0,-,0,0,0%,0,100%,0,0,-,0,-,0,0,-,0,-,1,0,33%,1,100%
,Parker (Jean) ES5GE,638,Parker (Jean) ES,5,GE,General Education,3,0,9%,3,100%,0,0,-,0,-,1,0,0%,1,100%,0,0,-,0,-,0,0,-,0,-,2,0,13%,2,100%
,Parks (Rosa) ESTKAF,786,Parks (Rosa) ES,TK,AF,SDC – Mild/Mod Autism Focus,12,3,28%,9,74%,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,4,2,50%,4,100%,8,1,16%,5,61%
,Parks (Rosa) ESKAF,786,Parks (Rosa) ES,K,AF,SDC – Mild/Mod Autism Focus,8,2,20%,6,80%,0,0,-,0,-,0,0,100%,0,100%,0,0,-,0,-,3,1,17%,3,92%,5,1,22%,3,72%
,Parks (Rosa) ES1AF,786,Parks (Rosa) ES,1,AF,SDC – Mild/Mod Autism Focus,1,0,33%,1,67%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,100%,0,100%,1,0,0%,0,50%
,Parks (Rosa) ES2AF,786,Parks (Rosa) ES,2,AF,SDC – Mild/Mod Autism Focus,0,0,0%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%,0,0,-,0,-
,Parks (Rosa) ES3AF,786,Parks (Rosa) ES,3,AF,SDC – Mild/Mod Autism Focus,0,0,0%,0,0%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,0%
,Parks (Rosa) ES4AF,786,Parks (Rosa) ES,4,AF,SDC – Mild/Mod Autism Focus,0,0,0%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%
,Parks (Rosa) ES5AF,786,Parks (Rosa) ES,5,AF,SDC – Mild/Mod Autism Focus,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-
,Parks (Rosa) ESTKGE,786,Parks (Rosa) ES,TK,GE,General Education,72,25,35%,72,100%,4,3,80%,4,100%,7,4,63%,7,100%,0,0,-,0,-,15,5,33%,15,100%,52,16,31%,52,100%
,Parks (Rosa) ESKGE,786,Parks (Rosa) ES,K,GE,General Education,88,17,19%,78,89%,8,3,41%,8,100%,15,7,48%,15,100%,0,0,-,0,-,22,7,33%,22,100%,56,5,8%,46,82%
,Parks (Rosa) ES1GE,786,Parks (Rosa) ES,1,GE,General Education,6,2,32%,6,88%,0,0,-,0,-,1,1,100%,1,100%,0,0,-,0,-,2,0,11%,2,78%,4,2,40%,4,93%
,Parks (Rosa) ES2GE,786,Parks (Rosa) ES,2,GE,General Education,3,2,46%,3,100%,0,0,-,0,-,0,0,0%,0,100%,0,0,-,0,-,1,0,33%,1,100%,3,1,50%,3,100%
,Parks (Rosa) ES3GE,786,Parks (Rosa) ES,3,GE,General Education,3,1,36%,3,91%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,1,100%,2,1,44%,2,89%
,Parks (Rosa) ES4GE,786,Parks (Rosa) ES,4,GE,General Education,3,0,8%,2,69%,0,0,0%,0,100%,1,0,0%,0,0%,0,0,-,0,-,1,0,0%,0,33%,2,0,11%,2,78%
,Parks (Rosa) ES5GE,786,Parks (Rosa) ES,5,GE,General Education,3,1,27%,3,91%,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,1,0,50%,1,100%,2,0,13%,2,88%
,Parks (Rosa) ES1JB,786,Parks (Rosa) ES,1,JB,Japanese Bilingual Bicultural Program,5,2,35%,4,80%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,20%,1,80%,4,2,40%,3,80%
,Parks (Rosa) ES2JB,786,Parks (Rosa) ES,2,JB,Japanese Bilingual Bicultural Program,3,1,27%,3,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,100%,3,1,30%,3,100%
,Parks (Rosa) ES3JB,786,Parks (Rosa) ES,3,JB,Japanese Bilingual Bicultural Program,2,0,17%,1,83%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,1,100%,1,0,33%,1,67%
,Parks (Rosa) ES4JB,786,Parks (Rosa) ES,4,JB,Japanese Bilingual Bicultural Program,2,0,0%,1,71%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,0,50%,1,0,0%,1,75%
,Parks (Rosa) ES5JB,786,Parks (Rosa) ES,5,JB,Japanese Bilingual Bicultural Program,0,0,100%,0,100%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,100%,0,100%
Opened in 25-26,Parks (Rosa) ESTKJE,786,Parks (Rosa) ES,TK,JE,Japanese Bilingual Bicultural Program - English Cohort,42,20,48%,40,95%,3,2,60%,3,100%,0,0,-,0,-,0,0,-,0,-,7,2,29%,7,100%,33,17,52%,31,94%
,Parks (Rosa) ESKJE,786,Parks (Rosa) ES,K,JE,Japanese Bilingual Bicultural Program - English Cohort,70,20,28%,64,92%,9,7,79%,9,100%,0,0,-,0,-,0,0,-,0,-,14,5,39%,14,100%,50,11,21%,44,88%
,Peabody (George) ESKGE,569,Peabody (George) ES,K,GE,General Education,577,46,8%,390,67%,16,16,100%,16,100%,31,25,79%,29,94%,0,0,-,0,-,26,5,20%,26,100%,510,6,1%,324,64%
,Peabody (George) ES1GE,569,Peabody (George) ES,1,GE,General Education,24,2,9%,13,52%,0,0,0%,0,0%,1,1,80%,1,100%,0,0,-,0,-,1,0,0%,1,100%,22,1,6%,11,49%
,Peabody (George) ES2GE,569,Peabody (George) ES,2,GE,General Education,20,1,5%,8,40%,0,0,0%,0,0%,1,0,20%,0,20%,0,0,-,0,-,1,0,0%,1,75%,17,1,4%,7,40%
,Peabody (George) ES3GE,569,Peabody (George) ES,3,GE,General Education,20,1,6%,10,51%,0,0,100%,0,100%,1,0,33%,0,33%,0,0,-,0,-,1,0,0%,1,80%,18,1,4%,9,49%
,Peabody (George) ES4GE,569,Peabody (George) ES,4,GE,General Education,17,3,16%,12,67%,0,0,100%,0,100%,1,1,50%,1,50%,0,0,-,0,-,1,1,40%,1,100%,15,2,10%,10,64%
,Peabody (George) ES5GE,569,Peabody (George) ES,5,GE,General Education,13,1,6%,6,45%,1,0,0%,0,0%,1,1,67%,1,67%,0,0,-,0,-,2,0,0%,1,44%,10,0,3%,5,45%
,Peabody (George) ESKMM,569,Peabody (George) ES,K,MM,SDC - Mild to Moderate,14,3,21%,8,57%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,2,1,33%,2,100%,13,3,20%,7,52%
,Peabody (George) ES1MM,569,Peabody (George) ES,1,MM,SDC - Mild to Moderate,1,0,33%,0,33%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,33%,0,33%
,Peabody (George) ES2MM,569,Peabody (George) ES,2,MM,SDC - Mild to Moderate,1,0,0%,0,0%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,0,0%
,Peabody (George) ES3MM,569,Peabody (George) ES,3,MM,SDC - Mild to Moderate,1,0,0%,0,0%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,1,0,0%,0,0%
,Peabody (George) ES4MM,569,Peabody (George) ES,4,MM,SDC - Mild to Moderate,0,0,0%,0,0%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,0%
,Peabody (George) ES5MM,569,Peabody (George) ES,5,MM,SDC - Mild to Moderate,0,0,0%,0,0%,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,-,0,-,0,0,0%,0,0%
